block,treat,plant,dist,up_down,slope,d15,precN,precC,C/N,dist2
9,T,Lichen,0.25,up,10,255,0.2931,42.224,144.0845,1
10,T,Lichen,0.25,up,15,1156,0.3538,42.0884,118.9483,1
11,T,Lichen,0.25,up,11,323,0.339,42.1056,124.2085,1
12,T,Lichen,0.25,up,11,244,0.2835,42.1752,148.7673,1
13,T,Lichen,0.25,up,10,731,0.3246,41.9623,129.2634,1
14,T,Lichen,0.25,up,6,212,0.3785,42.7658,112.9927,1
15,T,Lichen,0.25,up,1,NA,NA,NA,NA,1
16,T,Lichen,0.25,up,4,372,0.3079,41.1134,133.5228,1
17,T,Lichen,0.25,up,10,97,0.3034,42.8536,141.2416,1
18,T,Lichen,0.25,up,8,383,0.3643,42.6906,117.1884,1
19,T,Lichen,0.25,up,25,2686,0.422,42.6623,101.093,1
20,T,Lichen,0.25,up,11,247,0.3018,44.3945,147.0867,1
1,T,Lichen,0.25,down,13,NA,NA,NA,NA,1
2,T,Lichen,0.25,down,25,NA,NA,NA,NA,1
3,T,Lichen,0.25,down,18,279,0.2089,42.2237,202.1046,1
4,T,Lichen,0.25,down,6,1048,0.269,42.3896,157.5643,1
5,T,Lichen,0.25,down,4,88,0.2354,42.6021,180.9882,1
6,T,Lichen,0.25,down,8,440,0.3176,42.2739,133.0942,1
7,T,Lichen,0.25,down,4,103,0.2549,41.9092,164.3994,1
8,T,Lichen,0.25,down,9,175,0.264,42.6404,161.5207,1
9,T,Lichen,0.25,down,10,2360,0.3803,42.4689,111.6635,1
10,T,Lichen,0.25,down,15,NA,NA,NA,NA,1
11,T,Lichen,0.25,down,11,NA,NA,NA,NA,1
12,T,Lichen,0.25,down,11,1318,0.3444,42.4661,123.305,1
13,T,Lichen,0.25,down,10,221,0.2647,41.6841,157.4925,1
14,T,Lichen,0.25,down,6,573,0.377,42.5865,112.9764,1
15,T,Lichen,0.25,down,1,479,0.3648,43.4603,119.1429,1
16,T,Lichen,0.25,down,4,1361,0.271,41.8779,154.5244,1
17,T,Lichen,0.25,down,10,124,0.2869,42.0568,146.6079,1
18,T,Lichen,0.25,down,8,25,0.3577,42.097,117.6766,1
19,T,Lichen,0.25,down,25,1258,0.2329,42.329,181.714,1
20,T,Lichen,0.25,down,11,3981,0.3101,42.6013,137.3585,1
1,T,Kalmia,0.25,up,13,3317,1.1152,44.228,39.6582,1
2,T,Kalmia,0.25,up,25,367,1.1107,51.5455,46.4083,1
3,T,Kalmia,0.25,up,18,122,0.8982,45.8162,51.0066,1
4,T,Kalmia,0.25,up,6,781,1.0553,46.2573,43.8315,1
5,T,Kalmia,0.25,up,4,178,0.8672,48.9793,56.4769,1
6,T,Kalmia,0.25,up,8,626,0.7717,53.7175,69.611,1
7,T,Kalmia,0.25,up,4,106,0.9781,46.6063,47.649,1
8,T,Kalmia,0.25,up,9,315,0.796,47.4186,59.5707,1
9,T,Kalmia,0.25,up,10,191,1.4307,52.9155,36.9862,1
