block,treat,time,pH,ave_BD ,ave_soil_dept,ave_soil_moist,ave_soil_temp,soil_gm2,soil_d15N,soil_precN,soil_precC,soil_15N_at_prec,soil_mass_sol_rec,soil_prec_sol_rec,soil_N_gm2,soil_C_gm2,FR_gm2,FR_d15N,FR_precN,FR_precC,FR_15N_at_prec,FR_mass_sol_rec,FR_prec_sol_rec,FR_N_gm2,FR_C_gm2,CR_gm2,CR_d15N,CR_precN,CR_precC,CR_15N_at_prec,CR_mass_sol_rec,CR_prec_sol_rec,CR_N_gm2,CR_C_gm2,lichen_gm2,lichen_d15N,lichen_precN,lichen_precC,lichen_15N_at_prec,lichen_mass_sol_rec,lichen_prec_sol_rec,lichen_N_gm2,lichen_C_gm2,crow_gm2,crow_d15N,crow_precN,crow_precC,crow_15N_at_prec,crow_mass_sol_rec,crow_prec_sol_rec,crow_N_gm2,crow_C_gm2,Kleaf_gm2,Kleaf_d15N,Kleaf_precN,Kleaf_precC,Kleaf_15N_at_prec,Kleaf_mass_sol_rec,Kleaf_prec_sol_rec,Kleaf_N_gm2,Kleaf_C_gm2,Kstem_gm2,Kstem_d15N,Kstem_precN,Kstem_precC,Kstem_15N_at_prec,Kstem_mass_sol_rec,Kstem_prec_sol_rec,Kstem_N_gm2,Kstem_C_gm2,lingon_gm2,lingon_d15N,lingon_precN,lingon_precC,lingon_15N_at_prec,lingon_mass_sol_rec,lingon_prec_sol_rec,lingon_N_gm2,lingon_C_gm2,moss_gm2,moss_d15N,moss_precN,moss_precC,moss_15N_at_prec,moss_mass_sol_rec,moss_prec_sol_rec,moss_N_gm2,moss_C_gm2,Oleaf_gm2,Oleaf_d15N,Oleaf_precN,Oleaf_precC,Oleaf_15N_at_prec,Oleaf_mass_sol_rec,Oleaf_prec_sol_rec,Oleaf_N_gm2,Oleaf_C_gm2,Ostem_gm2,Ostem_d15N,Ostem_precN,Ostem_precC,Ostem_15N_at_prec,Ostem_mass_sol_rec,Ostem_prec_sol_rec,Ostem_N_gm2,Ostem_C_gm2,tot_abvg_biomass_gm2,tot_forage_biomass_gm2,N_stock_forage_gm2,C_stock_forage_gm2,total_eco_N_rec,prec_eco_N_rec,forage_N_rec,forage_prec_N_rec
11,C,Baseline,4.79,0.0977902,12.2071429,36.95,4.65,1343.9987,1.8456105,0.9980893,45.4930306,1.8456105,NA,NA,134.1430675,6114.257276,339.3229962,5.5575188,0.604856,51.0129962,0.3696932,NA,NA,2.0524155,173.0988272,875.4413138,8.9899874,0.4647813,52.4859509,0.3709552,NA,NA,4.0688873,459.4836985,77.44,25.0606027,0.3917385,44.5195666,0.3768635,NA,NA,0.3033623,34.4759524,365.76,-6.0959298,0.5009588,65.4466612,0.3654088,NA,NA,1.832307,239.3777079,26.88,-5.2488978,1.1972021,53.1288887,0.3657202,NA,NA,0.3218079,14.2810453,75.52,1.971774,0.7192168,58.0516313,0.3683749,NA,NA,0.5431525,43.8405919,22.88,-4.6474733,0.570168,53.0622325,0.3659414,NA,NA,0.1304544,12.1406388,8.64,148.5802217,0.7537509,45.3066287,0.4222755,NA,NA,0.0651241,3.9144927,6.88,NA,NA,NA,0.3663,NA,NA,NA,NA,93.12,NA,NA,NA,0.3663,NA,NA,NA,NA,677.12,501.6,2.6530557,304.1898371,NA,NA,NA,NA
11,T,Baseline,4.85,0.1019385,9.1957143,25,-0.25,1502.2954,1.9556138,0.4766248,19.5603554,1.9556138,NA,NA,71.6031308,2938.543274,767.9480096,1.471985,0.5347169,53.6684707,0.3681912,NA,NA,4.106348,412.1459527,1510.469537,31.8314373,0.5646234,49.8419503,0.3793528,NA,NA,8.5284644,752.8474761,36.8,36.9794711,0.3153222,43.845473,0.3812455,NA,NA,0.1160386,16.135134,32.64,-8.7401636,0.4151259,55.1575938,0.3644367,NA,NA,0.1354971,18.0034386,90.88,-3.4558318,1.0737784,55.3521922,0.3663795,NA,NA,0.9758498,50.3040723,132.8,23.0213871,0.8430059,58.9391176,0.3761138,NA,NA,1.1195118,78.2711482,65.12,-6.781587,0.5587469,53.6051923,0.3651567,NA,NA,0.363856,34.9077012,32.8,211.2853942,0.7535193,45.2779922,0.4453291,NA,NA,0.2471543,14.8511814,13.92,NA,NA,NA,0.3663,NA,NA,NA,NA,48.64,NA,NA,NA,0.3663,NA,NA,NA,NA,453.6,258.24,1.8383958,134.2015276,NA,NA,NA,NA
12,C,Baseline,4.9,0.1532312,5.6055,19.9,3.9,1912.2628,2.2319062,0.3878654,15.9146357,2.2319062,NA,NA,74.1700539,3043.296544,268.1527422,7.4094917,0.594434,54.252799,0.3703741,NA,NA,1.593991,145.4803682,1212.289568,23.5411479,0.5564698,51.5854746,0.3763049,NA,NA,6.7460248,625.3653276,56.32,20.0336304,0.2947164,44.2151168,0.3750154,NA,NA,0.1659843,24.9019538,217.6,-4.5375714,0.3001965,55.7046945,0.3659818,NA,NA,0.6532276,121.2134153,19.04,-11.1690149,1.3128594,53.4129361,0.3635437,NA,NA,0.2499684,10.169823,143.84,8.0612091,0.7270129,57.9253671,0.3706137,NA,NA,1.0457354,83.319848,34.4,-12.0413115,0.6379913,54.7262147,0.363223,NA,NA,0.219469,18.8258178,158.72,136.4445297,0.8379867,44.6770235,0.4178138,NA,NA,1.3300524,70.9113716,14.88,NA,NA,NA,0.3663,NA,NA,NA,NA,204.32,NA,NA,NA,0.3663,NA,NA,NA,NA,849.12,486.08,2.6187017,246.0223816,NA,NA,NA,NA
12,T,Baseline,4.6,0.0984969,7.264375,26.35,4.55,916.2944,-1.1833652,1.0300116,34.5889533,-1.1833652,NA,NA,94.3793904,3169.366496,776.9028803,8.6055597,0.5968699,51.7015179,0.3708138,NA,NA,4.6370993,401.6705818,1212.456362,42.3500186,0.5261061,52.337746,0.38322,NA,NA,6.3788075,634.5723316,36.8,16.2433535,0.3377042,44.3712283,0.3736219,NA,NA,0.1242751,16.328612,0,-7.773063,0.326203,55.4574988,0.3647922,NA,NA,0,0,105.12,-9.3397233,1.2466717,54.5164105,0.3642163,NA,NA,1.3105012,57.3076507,194.4,6.7754098,0.5637057,54.6860592,0.370141,NA,NA,1.095844,106.3096991,13.12,-6.8024062,1.3438873,92.8576024,0.3651491,NA,NA,0.176318,12.1829174,50.4,127.820564,0.8039203,44.7585335,0.4146432,NA,NA,0.4051758,22.5583009,17.6,NA,NA,NA,0.3663,NA,NA,NA,NA,147.84,NA,NA,NA,0.3663,NA,NA,NA,NA,565.28,205.44,2.0162702,108.377481,NA,NA,NA,NA
13,C,Baseline,4.72,0.2046838,6.2465,33.55,3.4,2722.3341,-0.2260897,0.367032,13.0785575,-0.2260897,NA,NA,99.9183657,3560.420268,602.073213,15.296442,0.7629871,52.4094151,0.3732737,NA,NA,4.5937407,315.5430491,1029.656087,1.1737981,0.7944104,52.9793579,0.3680815,NA,NA,8.1796955,545.5051838,7.84,29.6926418,0.3427086,44.2167207,0.3785665,NA,NA,0.0268684,3.4665909,74.88,-9.8859254,0.454758,56.2030053,0.3640154,NA,NA,0.3405228,42.0848103,34.56,-4.3357718,1.243116,54.1461471,0.366056,NA,NA,0.4296209,18.7129084,98.88,8.6640672,0.6209153,57.4681003,0.3708353,NA,NA,0.6139611,56.8244575,7.36,-9.3306086,0.6039722,53.0323777,0.3642196,NA,NA,0.0444524,3.903183,38.4,167.6355224,0.995969,45.5959206,0.4292812,NA,NA,0.3824521,17.5088335,26.72,NA,NA,NA,0.3663,NA,NA,NA,NA,168.32,NA,NA,NA,0.3663,NA,NA,NA,NA,456.96,163.04,1.2239165,85.6763262,NA,NA,NA,NA
13,T,Baseline,4.8,0.0954612,5.69875,31.9,4.3,847.2685,-0.7633517,0.5550193,19.9726315,-0.7633517,NA,NA,47.0250347,1692.218058,688.291597,18.343686,0.5184604,53.2590875,0.3743941,NA,NA,3.5685195,366.5778236,762.2248535,53.7477356,0.5109381,51.6771396,0.3874104,NA,NA,3.8944975,393.8960017,107.84,24.4288054,0.3279924,44.2593481,0.3766313,NA,NA,0.353707,47.729281,43.2,-9.3851282,0.256345,54.9286974,0.3641996,NA,NA,0.110741,23.7291973,27.84,-9.0186103,1.3538105,54.9935752,0.3643343,NA,NA,0.3769008,15.3102113,120.32,6.8605152,0.9303592,56.7453127,0.3701723,NA,NA,1.1194081,68.2759603,7.52,-11.7762805,0.6238923,52.4366339,0.3633205,NA,NA,0.0469167,3.9432349,74.24,72.4033385,0.6669035,47.8319547,0.3921328,NA,NA,0.4951091,35.5104431,14.08,NA,NA,NA,0.3663,NA,NA,NA,NA,108.64,NA,NA,NA,0.3663,NA,NA,NA,NA,503.68,260.64,1.3833746,126.2223676,NA,NA,NA,NA
14,C,Baseline,4.52,0.1243728,6.7445,30.05,4.6,1593.043,1.4420487,1.0769695,50.9149752,1.4420487,NA,NA,171.5658652,8110.974323,363.2519897,57.9428706,0.5632247,51.2040784,0.3889527,NA,NA,2.045925,185.9998335,1698.068651,2.2577149,0.6979269,52.0887907,0.36848,NA,NA,11.8512771,884.5034258,43.04,33.5494223,0.2978333,44.1305277,0.3799844,NA,NA,0.1281874,18.9937791,20.16,-8.2295031,0.4546738,54.2083011,0.3646244,NA,NA,0.0916622,10.9283935,41.92,-8.8847321,1.2930703,53.8069259,0.3643835,NA,NA,0.5420551,22.5558633,122.08,20.9871404,0.580665,57.374981,0.3753659,NA,NA,0.7088758,70.0433768,14.88,-9.7086538,0.5572252,53.0319672,0.3640806,NA,NA,0.0829151,7.8911567,99.84,146.6497268,0.8119038,46.6752796,0.4184606,NA,NA,0.8106048,46.6005992,130.56,NA,NA,NA,0.3663,NA,NA,NA,NA,24.32,NA,NA,NA,0.3663,NA,NA,NA,NA,496.8,219.84,1.6554246,106.9697918,NA,NA,NA,NA
14,T,Baseline,4.62,0.053298,4.9231429,29.75,4.1,723.0001,0.706797,0.4076972,17.6043492,0.706797,NA,NA,29.4765134,1272.794569,646.8228979,-1.5863355,0.5986632,52.5717661,0.3670668,NA,NA,3.8722907,340.046221,1450.932856,20.3027359,0.6802677,54.3794262,0.3751143,NA,NA,9.8702275,789.0089611,174.56,10.6963098,0.3038265,44.5919436,0.3715825,NA,NA,0.5303595,77.8396968,0,0.6278223,0.3414974,56.2544661,0.3678808,NA,NA,0,0,65.12,-6.880544,1.1819041,55.5109117,0.3651204,NA,NA,0.7696559,36.1487057,144.8,7.4343102,0.6360231,57.7029902,0.3703832,NA,NA,0.9209615,83.5539298,7.84,-9.004933,0.5189285,52.6050612,0.3643393,NA,NA,0.040684,4.1242368,1.28,297.5574575,0.9198933,46.1706668,0.477047,NA,NA,0.0117746,0.5909845,14.56,NA,NA,NA,0.3663,NA,NA,NA,NA,41.92,NA,NA,NA,0.3663,NA,NA,NA,NA,450.08,248.8,1.352474,118.7036238,NA,NA,NA,NA
15,C,Baseline,4.69,0.1201705,5.25825,26.65,4.4,1464.0488,0.173021,1.2910109,49.4426971,0.173021,NA,NA,189.0102937,7238.65202,527.9180021,10.9567086,0.5771231,53.3963492,0.3716782,NA,NA,3.0467366,281.88894,981.9987313,25.368435,0.7277554,53.3430142,0.3769767,NA,NA,7.1465483,523.8277231,26.88,32.0035015,0.3560761,45.7584111,0.3794161,NA,NA,0.0957133,12.2998609,258.08,-2.2019536,0.2865117,57.2518708,0.3668405,NA,NA,0.7394293,147.7556282,29.92,-6.4757105,1.3190513,54.4183405,0.3652692,NA,NA,0.3946601,16.2819675,54.08,23.7572596,0.5723324,58.2968039,0.3763844,NA,NA,0.3095174,31.5269115,12.48,-10.8803477,0.5765986,53.8130897,0.3636498,NA,NA,0.0719595,6.7158736,107.52,210.8162579,0.7929506,44.6180128,0.4451566,NA,NA,0.8525805,47.9732874,6.08,NA,NA,NA,0.3663,NA,NA,NA,NA,35.2,NA,NA,NA,0.3663,NA,NA,NA,NA,530.24,434.88,2.1543427,231.0266175,NA,NA,NA,NA
15,T,Baseline,4.44,0.0834315,11.7808571,28.1,4.2,1481.2367,2.2395705,0.6164165,27.3377014,2.2395705,NA,NA,91.3058785,4049.360684,641.5683869,4.537486,0.8170878,52.5698467,0.3693182,NA,NA,5.2421771,337.2715172,1177.64472,3.0771933,0.5701156,53.959315,0.3687813,NA,NA,6.7139364,635.4490241,91.52,14.4304302,0.3730248,44.3006536,0.3729553,NA,NA,0.3413923,40.5439581,360.64,-7.4885122,0.4344185,55.7573023,0.3648968,NA,NA,1.5666867,201.083135,41.28,-6.3158291,1.1963667,54.4885206,0.365328,NA,NA,0.4938602,22.4928613,206.4,-2.5014074,0.7223166,57.9142635,0.3667304,NA,NA,1.4908615,119.5350399,6.88,-9.7771407,0.6886846,52.4780821,0.3640554,NA,NA,0.0473815,3.610492,107.2,173.8501468,0.9674124,46.2242071,0.431566,NA,NA,1.0370661,49.55235,8.48,NA,NA,NA,0.3663,NA,NA,NA,NA,84.8,NA,NA,NA,0.3663,NA,NA,NA,NA,907.2,607.52,3.4863867,317.2827965,NA,NA,NA,NA
16,C,Baseline,4.3,0.098896,7.7828571,36.2,5.2,1332.0432,-1.5831159,1.0581689,43.9566052,-1.5831159,NA,NA,140.9526755,5855.209777,325.1382835,-3.6367266,0.6201856,51.5778148,0.366313,NA,NA,2.0164607,167.6992218,1176.626128,18.5767026,0.5327275,52.2496647,0.3744797,NA,NA,6.2682113,614.7832061,379.2,31.6412212,0.238082,43.6904284,0.3792829,NA,NA,0.902807,165.6741043,0,-5.0111204,0.4922237,67.9310641,0.3658077,NA,NA,0,0,23.36,-9.2469184,1.2677493,54.4511668,0.3642504,NA,NA,0.2961462,12.7197926,49.6,44.1358999,0.5246346,57.9767522,0.3838766,NA,NA,0.2602188,28.7564691,14.08,-8.0437882,0.5930726,52.001706,0.3646927,NA,NA,0.0835046,7.3218402,0,248.3490341,0.7590193,44.9560592,0.4589555,NA,NA,0,0,18.88,NA,NA,NA,0.3663,NA,NA,NA,NA,123.36,NA,NA,NA,0.3663,NA,NA,NA,NA,608.48,416.64,1.2824579,185.7157371,NA,NA,NA,NA
16,T,Baseline,4.9,0.0944834,15.668,33.3,2.65,1873.1481,2.1229474,0.2685774,12.4671889,2.1229474,NA,NA,50.3085204,2335.28917,306.5871462,1.0221043,0.5422773,48.1668742,0.3680258,NA,NA,1.6625526,147.673445,1947.967377,12.7897081,0.4192115,48.5506288,0.3723521,NA,NA,8.1661027,945.7504101,232.64,91.8126783,0.2924992,44.4089426,0.4014049,NA,NA,0.6804702,103.3129641,209.92,-7.5716456,0.4599559,55.5475332,0.3648663,NA,NA,0.9655395,116.6053818,4.64,-7.6015358,0.9548346,54.3528584,0.3648553,NA,NA,0.0443043,2.5219726,9.28,11.1024275,0.6490521,59.1314544,0.3717318,NA,NA,0.060232,5.487399,14.4,-8.5933679,0.5049974,53.1100727,0.3644906,NA,NA,0.0727196,7.6478505,10.88,290.7822894,0.5491227,43.9166123,0.4745561,NA,NA,0.0597446,4.7781274,9.6,NA,NA,NA,0.3663,NA,NA,NA,NA,30.08,NA,NA,NA,0.3663,NA,NA,NA,NA,521.44,472.48,1.8227782,234.8662964,NA,NA,NA,NA
17,C,Baseline,4.45,0.0905757,12.2457143,36.25,5.2,1568.6552,2.4233882,0.7216833,35.3109529,2.4233882,NA,NA,113.2072345,5539.071137,486.7206627,6.290524,0.5013388,54.2704711,0.3699627,NA,NA,2.4401196,264.1455967,935.3599667,38.3356458,0.467786,51.4227207,0.3817441,NA,NA,4.3754833,480.987543,309.28,21.9893111,0.242606,44.9919118,0.3757344,NA,NA,0.7503319,139.1509847,222.24,-8.2479297,0.1776661,55.6548698,0.3646176,NA,NA,0.3948451,123.6873826,30.88,-5.7947682,1.0883033,56.3731812,0.3655196,NA,NA,0.3360681,17.4080383,83.84,23.0933873,0.5893256,56.3510251,0.3761403,NA,NA,0.4940906,47.2446994,26.56,-10.1011256,0.5855502,53.4898262,0.3639363,NA,NA,0.1555221,14.2068978,0.32,51.1407182,0.7894577,45.6147666,0.3864519,NA,NA,0.0025263,0.1459673,23.68,NA,NA,NA,0.3663,NA,NA,NA,NA,53.12,NA,NA,NA,0.3663,NA,NA,NA,NA,749.92,589.28,1.6392934,294.5992707,NA,NA,NA,NA
17,T,Baseline,4.66,0.1193465,5.165,36.45,4.6,1198.1004,1.5209909,1.0034624,45.6075202,1.5209909,NA,NA,120.2248758,5464.238963,482.8476194,10.9414004,0.5749696,54.4454595,0.3716726,NA,NA,2.7762269,262.8886053,810.3151111,28.7244651,0.5901333,55.1843155,0.3782105,NA,NA,4.7819389,447.1668477,347.84,34.7087162,0.2631029,44.5960664,0.3804107,NA,NA,0.9151771,155.1229573,307.2,-6.3688146,0.6529163,54.7864286,0.3653085,NA,NA,2.0057589,168.3039087,39.2,-10.952171,1.3842561,55.5892772,0.3636234,NA,NA,0.5426284,21.7909967,90.88,5.5626496,0.6877363,58.1189739,0.3696951,NA,NA,0.6250148,52.8185235,6.56,-13.4587558,0.7321969,53.8829596,0.3627019,NA,NA,0.0480321,3.5347221,17.92,67.9785401,0.6386043,44.9181316,0.3926423,NA,NA,0.1144379,8.0493292,6.24,NA,NA,NA,0.3663,NA,NA,NA,NA,69.6,NA,NA,NA,0.3663,NA,NA,NA,NA,885.44,718.72,3.6260344,356.8019139,NA,NA,NA,NA
18,C,Baseline,4.99,0.0504249,7.182,17.05,3.4,611.701,1.7057695,0.5607165,21.888506,1.7057695,NA,NA,34.2990864,1338.922096,380.4956665,15.9197424,0.4917277,53.3859214,0.3735029,NA,NA,1.8710025,203.1311174,996.6664508,21.4081878,0.3897043,52.4662543,0.3755207,NA,NA,3.884052,522.9135543,211.84,90.475913,0.3441372,44.8781339,0.4009135,NA,NA,0.7290203,95.0698388,351.2,-7.1390096,0.5905979,53.9423051,0.3650253,NA,NA,2.0741797,189.4453757,7.52,-6.0504862,1.0775803,55.7915679,0.3654255,NA,NA,0.081034,4.1955259,65.12,8.8767653,0.5364339,57.9384111,0.3709135,NA,NA,0.3493257,37.7294933,18.08,-8.9147763,0.73475,51.9024819,0.3643725,NA,NA,0.1328428,9.3839687,3.36,116.7344112,0.6668906,45.5932019,0.4105674,NA,NA,0.0224075,1.5319316,12.32,NA,NA,NA,0.3663,NA,NA,NA,NA,113.28,NA,NA,NA,0.3663,NA,NA,NA,NA,782.72,592,3.0394844,299.6266407,NA,NA,NA,NA
18,T,Baseline,4.78,0.1178071,5.671,38.55,4.9,1616.4787,1.0901865,0.5019255,19.7056661,1.0901865,NA,NA,81.1351883,3185.378968,522.0467645,4.8138927,0.5214222,53.5819516,0.3694198,NA,NA,2.7220678,279.7228449,1366.733525,25.5557377,0.5957039,54.9288476,0.3770456,NA,NA,8.141685,750.7309744,212.96,32.9056979,0.3178279,44.4848486,0.3781212,NA,NA,0.6768463,94.7349335,35.68,-5.6968437,0.4668007,56.844046,0.3655556,NA,NA,0.1665545,20.2819556,26.56,-8.3333295,1.1887566,54.1956037,0.3645863,NA,NA,0.3157337,14.3943523,51.2,12.2308505,0.6400712,57.2301958,0.3721467,NA,NA,0.3277165,29.3018602,5.28,-10.8970357,0.6834248,53.8242449,0.3636437,NA,NA,0.0360848,2.8419201,0,129.0169658,0.7995716,44.7208469,0.4150831,NA,NA,0,0,10.08,NA,NA,NA,0.3663,NA,NA,NA,NA,49.76,NA,NA,NA,0.3663,NA,NA,NA,NA,391.52,280.48,1.1952194,132.2531616,NA,NA,NA,NA
19,C,Baseline,5.06,0.1168123,8.201,27.35,4.25,1646.2528,1.8650494,0.3039772,11.9527169,1.8650494,NA,NA,50.0423277,1967.719393,508.1087425,1.4544361,0.669002,52.7152394,0.3681847,NA,NA,3.3992575,267.8507402,1412.022655,4.9029002,0.5096432,43.1266217,0.3694526,NA,NA,7.1962774,608.9576682,295.84,15.9762426,0.3390845,44.3431905,0.3721144,NA,NA,1.0031477,131.1848947,160.8,-7.0749794,0.5011444,54.1883118,0.3650489,NA,NA,0.8058402,87.1348053,75.2,-9.0048104,1.7651689,93.3214916,0.3643394,NA,NA,1.327407,70.1777617,234.88,30.6855542,0.5763475,58.0442342,0.3789315,NA,NA,1.3537249,136.3342973,8.48,-13.9424756,0.8040584,51.7808205,0.362524,NA,NA,0.0681841,4.3910136,4.8,93.8792241,0.9369947,46.5082547,0.4021647,NA,NA,0.0449757,2.2323962,4.96,NA,NA,NA,0.3663,NA,NA,NA,NA,35.04,NA,NA,NA,0.3663,NA,NA,NA,NA,820,545.12,3.2495548,295.1208715,NA,NA,NA,NA
19,T,Baseline,4.71,0.1034513,6.8462857,17.95,4.75,1503.2966,0.7585837,0.3758389,15.1694138,0.7585837,NA,NA,56.4997297,2280.412786,570.9161833,4.4595797,0.5758416,50.9131062,0.3692896,NA,NA,3.2875727,290.6711627,1979.925689,8.0349446,0.5796194,54.6194458,0.370604,NA,NA,11.4760325,1081.424438,194.24,32.3936628,0.2800327,44.3914492,0.3779395,NA,NA,0.5439356,86.225951,0,-6.9360792,0.3253344,55.470156,0.3651,NA,NA,0,0,82.24,-10.9307348,1.212481,53.3584093,0.3636313,NA,NA,0.9971443,43.8819558,177.28,38.3906301,0.4229064,56.977789,0.3817643,NA,NA,0.7497285,101.0102243,13.28,-7.2643706,0.6120389,54.2555359,0.3649793,NA,NA,0.0812788,7.2051352,0.48,35.2583859,0.639857,47.4136867,0.3806127,NA,NA,0.0030713,0.2275857,26.72,NA,NA,NA,0.3663,NA,NA,NA,NA,96.96,NA,NA,NA,0.3663,NA,NA,NA,NA,591.2,290.24,1.62543,137.5406276,NA,NA,NA,NA
20,C,Baseline,5.02,0.191051,10.8331429,31.9,5.55,2432.8046,3.7327681,0.307187,12.4833244,3.7327681,NA,NA,74.7325917,3036.948918,349.7086728,7.9412359,0.5714014,52.1500046,0.3705696,NA,NA,1.9982403,182.373089,1319.19076,44.1455316,0.4131787,53.6083778,0.3838801,NA,NA,5.4506158,707.1967669,496.16,16.8715314,0.2750781,44.347937,0.372432,NA,NA,1.3648277,220.0367241,153.12,-5.8540985,0.2897051,55.8381232,0.3654977,NA,NA,0.4435965,85.4993342,45.92,-6.4636764,1.2674433,55.0474773,0.3652736,NA,NA,0.58201,25.2778016,213.76,7.3531115,0.6036372,56.8287482,0.3703534,NA,NA,1.2903349,121.4771321,5.28,-9.3335036,0.5296966,52.1945103,0.3642185,NA,NA,0.027968,2.7558701,25.12,9.6990678,0.723769,50.2897147,0.3712159,NA,NA,0.1818108,12.6327763,8.8,NA,NA,NA,0.3663,NA,NA,NA,NA,103.52,NA,NA,NA,0.3663,NA,NA,NA,NA,1051.68,725.6,2.6002129,346.2025064,NA,NA,NA,NA
20,T,Baseline,4.57,0.0436018,9.4654286,30.3,0.2,890.2078,1.501821,0.3750403,16.5318393,1.501821,NA,NA,33.3863794,1471.677222,589.3193061,10.9435108,0.4556855,51.7618646,0.3716734,NA,NA,2.6854424,305.0426615,1448.577362,47.2517537,0.4789379,53.1349154,0.3850221,NA,NA,6.9377857,769.7003558,296.64,56.1988097,0.1937632,44.5618335,0.3883115,NA,NA,0.5747791,132.1882229,149.92,0.594353,0.2709924,55.4908283,0.3678685,NA,NA,0.4062718,83.1918498,0.8,-6.6472573,1.1738814,55.2977392,0.3652061,NA,NA,0.0093911,0.4423819,6.88,6.56605,0.9144837,56.9215017,0.370064,NA,NA,0.0629165,3.9161993,10.08,-9.1959544,0.4588454,52.6856233,0.3642691,NA,NA,0.0462516,5.3107108,0.64,18.3243036,0.3821193,49.0217107,0.3743869,NA,NA,0.0024456,0.3137389,31.04,NA,NA,NA,0.3663,NA,NA,NA,NA,172.32,NA,NA,NA,0.3663,NA,NA,NA,NA,668.32,458.08,1.0391391,221.4469044,NA,NA,NA,NA
1,C,Year1,4.49,0.0756694,9.1071429,20.45,7.35,1236.624,162.6262568,1.5052751,47.730279,0.4258162,0.0057692,23.0766589,186.1459433,5902.44106,333.8217946,364.4292382,0.5275764,52.186154,0.4993583,0.0006001,2.4002763,1.7611649,174.2087559,1454.67618,397.7863251,0.4983473,52.8503692,0.511504,0.0026956,10.7824415,7.2493392,768.8017313,12.8,1321.856534,0.4606208,43.6439942,0.8695887,0.000076,0.3039641,0.0589595,5.5864313,569.6,545.1358037,0.4340011,63.7679427,0.5651201,0.0012586,5.0342619,2.4720702,363.2222018,54.88,168.2601704,0.9282796,47.3399076,0.4278709,0.0000803,0.3212671,0.5094398,25.9801413,131.68,204.8331421,0.5939551,55.6614144,0.4449174,0.0001574,0.6297867,0.7821201,73.2949504,28.16,209.2612271,0.48,50.1,0.4428208,0.0001059,0.4237459,0.135168,14.10816,22.4,2894.085446,0.58,45.2,1.4120967,0.000348,1.3919704,0.12992,10.1248,14.56,112.9765982,1.9105096,51.1938339,0.407706,0.0000295,0.1179707,0.2781702,7.4538222,120.96,112.9765982,1.9105096,51.1938339,0.407706,0.000245,0.9800644,2.3109525,61.9240615,955.04,687.84,3.3055575,419.0217343,0.0113656,45.462408,0.0018688,7.4752095
1,T,Year1,5.42,0.1730153,8.8395714,10.95,7.7,2941.0819,1536.20393,1.0231275,33.3532109,0.9242446,0.5512399,6.2840615,300.9101809,9809.452576,493.8993607,2523.863241,0.6899618,53.9683464,1.2795624,0.168011,1.9153032,3.4077169,266.5493176,926.6637407,1726.290567,0.6214939,52.0956359,0.9928283,0.1951335,2.2244955,5.7591588,482.7513683,0,NA,NA,NA,NA,NA,NA,0,0,555.84,2552.414381,0.5167291,55.4916167,1.289796,NA,NA,2.8721868,308.444602,65.12,2670.653718,1.9783136,57.0569576,1.3321539,0.0671129,0.7650778,1.2882778,37.1554908,276.16,2505.036307,0.9756389,56.0739777,0.5548809,0.027425,0.3126417,2.6943244,154.8538967,62.4,79.7513764,0.7749945,61.5511638,0.3955831,0.0030549,0.0348258,0.4835965,38.4079262,203.68,3004.627249,0.49,44.7,1.4516002,0.0586357,0.6684391,0.998032,91.04496,35.04,3414.969098,1.9548038,52.5184012,1.5979644,0.0455168,0.5188855,0.6849633,18.4024478,328.8,1979.891759,0.5913104,53.4413646,1.5979644,0.1291968,1.4728266,1.9442287,175.7152068,1527.04,887.04,5.6420932,475.052979,1.2453265,14.1965566,0.1288035,1.4683427
2,C,Year1,4.69,0.1351905,8.6127143,37.45,7.85,1908.5219,152.5710991,1.14337,38.3733874,0.422149,0.004105,16.419832,218.2146734,7323.644906,583.1027016,142.8917447,0.519771,53.8548937,0.4186187,0.000406,1.6241276,3.0307986,314.0293398,724.6897517,429.9971385,0.4272135,52.7812827,0.5232295,0.0012443,4.9771284,3.0959721,382.5005463,11.52,1063.58,0.32,44.37,0.7717175,0.0000383,0.1531172,0.036864,5.111424,461.28,237.1552784,0.5008266,55.2219315,0.4529891,0.0005128,2.05121,2.3102131,254.7277258,12.48,312.3988771,1.2963657,52.6053416,0.4804075,0.0000473,0.1890809,0.1617864,6.5651466,33.92,516.9837662,0.5572774,58.7897508,1.3154779,0.0004594,1.8377541,0.1890285,19.9414835,5.28,114.1026272,0.6203472,54.4727818,0.4081168,0.000014,0.0561133,0.0327543,2.8761629,50.24,2369.958916,0.67,46.1,1.2243619,0.0007399,2.9595358,0.336608,23.16064,9.12,174.6166694,2.276175,51.4318268,0.4301889,0.000034,0.1358395,0.2075872,4.6905826,152,169.4442019,0.5933088,57.0917665,0.4301889,0.0001475,0.590133,0.9018293,86.7794851,735.84,540.8,2.8782259,292.4410993,0.0077485,30.9938718,0.0013523,5.4090571
