block,treat,time,pH,ave_BD ,ave_soil_dept,ave_soil_moist,ave_soil_temp,soil_gm2,soil_d15N,soil_precN,soil_precC,soil_15N_at_prec,soil_mass_sol_rec,soil_prec_sol_rec,soil_N_gm2,soil_C_gm2,FR_gm2,FR_d15N,FR_precN,FR_precC,FR_15N_at_prec,FR_mass_sol_rec,FR_prec_sol_rec,FR_N_gm2,FR_C_gm2,CR_gm2,CR_d15N,CR_precN,CR_precC,CR_15N_at_prec,CR_mass_sol_rec,CR_prec_sol_rec,CR_N_gm2,CR_C_gm2,lichen_gm2,lichen_d15N,lichen_precN,lichen_precC,lichen_15N_at_prec,lichen_mass_sol_rec,lichen_prec_sol_rec,lichen_N_gm2,lichen_C_gm2,crow_gm2,crow_d15N,crow_precN,crow_precC,crow_15N_at_prec,crow_mass_sol_rec,crow_prec_sol_rec,crow_N_gm2,crow_C_gm2,Kleaf_gm2,Kleaf_d15N,Kleaf_precN,Kleaf_precC,Kleaf_15N_at_prec,Kleaf_mass_sol_rec,Kleaf_prec_sol_rec,Kleaf_N_gm2,Kleaf_C_gm2,Kstem_gm2,Kstem_d15N,Kstem_precN,Kstem_precC,Kstem_15N_at_prec,Kstem_mass_sol_rec,Kstem_prec_sol_rec,Kstem_N_gm2,Kstem_C_gm2,lingon_gm2,lingon_d15N,lingon_precN,lingon_precC,lingon_15N_at_prec,lingon_mass_sol_rec,lingon_prec_sol_rec,lingon_N_gm2,lingon_C_gm2,moss_gm2,moss_d15N,moss_precN,moss_precC,moss_15N_at_prec,moss_mass_sol_rec,moss_prec_sol_rec,moss_N_gm2,moss_C_gm2,Oleaf_gm2,Oleaf_d15N,Oleaf_precN,Oleaf_precC,Oleaf_15N_at_prec,Oleaf_mass_sol_rec,Oleaf_prec_sol_rec,Oleaf_N_gm2,Oleaf_C_gm2,Ostem_gm2,Ostem_d15N,Ostem_precN,Ostem_precC,Ostem_15N_at_prec,Ostem_mass_sol_rec,Ostem_prec_sol_rec,Ostem_N_gm2,Ostem_C_gm2,tot_abvg_biomass_gm2,tot_forage_biomass_gm2,N_stock_forage_gm2,C_stock_forage_gm2,total_eco_N_rec,prec_eco_N_rec,forage_N_rec,forage_prec_N_rec
6,C,Baseline,4.4,0.1111551,12.5115,41.9,4.45,1194.342,0.855251,0.8102791,36.8126294,0.855251,NA,NA,96.7750376,4396.686965,566.9197947,-2.2559067,0.5637997,51.9993709,0.3668206,NA,NA,3.1962922,294.7947265,1571.648697,30.6914442,0.5561828,51.0400133,0.3789337,NA,NA,8.7412399,802.1697034,36.8,16.0407361,0.3318649,43.8313627,0.3735474,NA,NA,0.1221263,16.1299415,0,-4.6347921,0.4761529,55.3279775,0.365946,NA,NA,0,0,121.12,-8.1923387,1.1028582,50.5342464,0.3646381,NA,NA,1.3357819,61.2070792,321.92,8.0356585,0.7327968,56.9964569,0.3706043,NA,NA,2.3590195,183.482994,28.16,-9.526893,0.7254004,51.3535858,0.3641474,NA,NA,0.2042728,14.4611698,58.88,211.7695294,0.7054328,45.670061,0.4455071,NA,NA,0.4153589,26.8905319,15.2,NA,NA,NA,0.3663,NA,NA,NA,NA,92.48,NA,NA,NA,0.3663,NA,NA,NA,NA,674.56,244.96,2.0775398,118.6887224,NA,NA,NA,NA
6,T,Baseline,4.68,0.0623916,9.5154286,28.5,-0.4,949.6624,0.4383837,1.1772181,44.8702354,0.4383837,NA,NA,111.795977,4261.157532,530.0888798,67.7292595,0.5564178,52.4164783,0.3925507,NA,NA,2.9495091,277.8539225,2041.90699,101.5233677,0.450776,56.0446385,0.4049751,NA,NA,9.2044266,1144.379392,79.52,11.3092371,0.2749165,44.3320419,0.3718078,NA,NA,0.2186136,35.2528397,410.4,-5.0015685,0.4428555,56.0652121,0.3658112,NA,NA,1.8174791,230.0916306,77.6,-5.8457211,0.9801636,55.8831158,0.3655008,NA,NA,0.7606069,43.3652979,244,53.6038336,0.404772,50.4977128,0.3873574,NA,NA,0.9876438,123.2144191,16.96,-10.4354668,0.6068825,52.403496,0.3638134,NA,NA,0.1029273,8.8876329,70.08,62.3288529,0.7053455,45.1002615,0.3905652,NA,NA,0.4943062,31.6062633,16.8,NA,NA,NA,0.3663,NA,NA,NA,NA,148.32,NA,NA,NA,0.3663,NA,NA,NA,NA,1063.68,654.56,3.393933,349.2036644,NA,NA,NA,NA
7,C,Baseline,4.49,0.0772702,8.2817143,28.95,5.1,1039.6872,-1.3025988,0.3722512,18.9844743,-1.3025988,NA,NA,38.7024797,1973.79155,235.1455325,0.2605731,0.477891,51.19549,0.3677458,NA,NA,1.1237392,120.3839076,1752.321388,11.4410424,0.5452062,53.9938596,0.3718563,NA,NA,9.5537645,946.1459502,224.48,29.999483,0.3102594,44.9270781,0.3786793,NA,NA,0.6964704,100.8523048,0,NA,NA,NA,NA,NA,NA,0,0,14.88,-7.6540008,1.1710467,54.5438933,0.364836,NA,NA,0.1742518,8.1161313,27.2,35.7490326,0.7032755,59.744764,0.3807931,NA,NA,0.1912909,16.2505758,47.04,-7.7050644,0.6235074,54.3729647,0.3648172,NA,NA,0.2932979,25.5770426,40.64,154.4783075,0.5495648,45.3120323,0.4244439,NA,NA,0.2233431,18.4148099,11.2,NA,NA,NA,0.3663,NA,NA,NA,NA,85.44,NA,NA,NA,0.3663,NA,NA,NA,NA,450.88,327.04,1.3873631,152.9602886,NA,NA,NA,NA
7,T,Baseline,4.69,0.0692174,13.804,26.25,3.9,989.977,0.7215993,0.3507277,21.2070593,0.7215993,NA,NA,34.7212377,2099.450116,624.275372,53.2519056,0.518178,51.965627,0.3872281,NA,NA,3.2348578,324.4086111,1999.240733,70.0929928,0.4575138,51.2758746,0.3934197,NA,NA,9.1468013,1025.128172,146.4,13.8639403,0.2676886,40.3231139,0.3727471,NA,NA,0.3918962,59.0330387,0,NA,NA,NA,NA,NA,NA,0,0,40.96,-7.1666537,1.0904074,54.4134152,0.3650152,NA,NA,0.4466309,22.2877349,88,13.4940359,0.8763244,57.3841262,0.3726111,NA,NA,0.7711655,50.498031,58.24,-8.1660187,0.627707,54.8414165,0.3646478,NA,NA,0.3655765,31.939641,58.56,101.9081109,0.6140516,46.0880158,0.4051165,NA,NA,0.3595886,26.9891421,8.64,NA,NA,NA,0.3663,NA,NA,NA,NA,91.36,NA,NA,NA,0.3663,NA,NA,NA,NA,492.16,304.16,1.5636922,140.2495566,NA,NA,NA,NA
8,C,Baseline,4.7,0.1367045,17.2393333,44.15,5.55,2163.1952,2.2878476,0.3200218,14.2899668,2.2878476,NA,NA,69.2269607,3091.198708,448.5576183,11.1277733,0.5620863,50.5244642,0.3717411,NA,NA,2.5212811,226.6313335,1029.503299,10.6508655,0.4581782,51.4979845,0.3715658,NA,NA,4.7169596,530.1734489,301.76,59.4480442,0.3798157,45.0288484,0.3895061,NA,NA,1.1461319,135.8790529,0,-5.7926606,0.5977049,54.8472777,0.3655203,NA,NA,0,0,10.56,-6.4631129,1.0471397,51.5804752,0.3652738,NA,NA,0.1105779,5.4468982,14.4,4.2725905,0.6290587,58.1258872,0.3692208,NA,NA,0.0905845,8.3701278,4.8,-8.578428,0.5915645,53.899174,0.3644961,NA,NA,0.0283951,2.5871604,5.12,295.0521932,0.5609616,45.4350681,0.4761259,NA,NA,0.0287212,2.3262755,10.88,NA,NA,NA,0.3663,NA,NA,NA,NA,102.88,NA,NA,NA,0.3663,NA,NA,NA,NA,450.4,322.24,1.3138262,146.2393869,NA,NA,NA,NA
8,T,Baseline,4.7,0.1687253,12.9057143,35.65,5.45,2243.4155,2.7371394,0.1945095,9.4374586,2.7371394,NA,NA,43.6365512,2117.214065,428.871704,12.6705563,0.4708845,51.6782803,0.3723083,NA,NA,2.0194905,221.6335214,1211.512892,35.8546251,0.4602264,52.3174569,0.380832,NA,NA,5.5757028,633.8327353,286.4,30.7725579,0.2662177,44.3080774,0.3789635,NA,NA,0.7624475,126.8983337,34.4,-5.0241583,0.4890934,56.7893693,0.3658029,NA,NA,0.1682481,19.535543,51.2,-4.4539468,1.137382,56.883512,0.3660125,NA,NA,0.5823396,29.1243581,80.16,10.38592,0.5685015,56.6079819,0.3714684,NA,NA,0.4557108,45.3769583,0,-10.252711,0.5546463,52.6518773,0.3638806,NA,NA,0,0,4.8,289.4180978,0.6529465,44.7758346,0.4740546,NA,NA,0.0313414,2.1492401,6.72,NA,NA,NA,0.3663,NA,NA,NA,NA,137.28,NA,NA,NA,0.3663,NA,NA,NA,NA,600.96,376.8,1.5443766,177.7074749,NA,NA,NA,NA
9,C,Baseline,4.9,0.1014123,10.5745714,18.65,4.45,1265.7448,1.2365553,0.1754772,5.3667986,1.2365553,NA,NA,22.2109414,679.2997616,475.6442522,11.9306232,0.6719185,51.7200966,0.3720363,NA,NA,3.1959416,246.0036669,863.600186,16.5859968,0.3671089,35.1434282,0.3737478,NA,NA,3.1703532,303.498711,71.04,32.5445738,0.3291898,44.2062674,0.379615,NA,NA,0.2338564,31.4041324,241.28,-8.7415924,0.388755,56.3189923,0.3644362,NA,NA,0.9379881,135.8864647,81.12,-6.8782221,1.1788129,55.4847829,0.3651212,NA,NA,0.956253,45.0092558,205.6,4.1046844,0.9231055,63.2571062,0.3691591,NA,NA,1.897905,130.0566103,6.4,-8.397959,0.659149,52.9778419,0.3645625,NA,NA,0.0421855,3.3905819,2.4,125.6271238,0.7677152,48.695254,0.4138368,NA,NA,0.0184252,1.1686861,6.4,NA,NA,NA,0.3663,NA,NA,NA,NA,94.4,NA,NA,NA,0.3663,NA,NA,NA,NA,708.64,402.24,2.1887083,216.8591209,NA,NA,NA,NA
9,T,Baseline,4.59,0.0994302,8.3657143,31.7,2.4,1415.4593,1.1232246,0.5217027,21.9865105,1.1232246,NA,NA,73.8449021,3112.101135,391.7694295,7.722898,0.6583958,51.908739,0.3704893,NA,NA,2.5793933,203.3625706,970.9342796,4.1221816,0.7224667,53.7923619,0.3691655,NA,NA,7.0146764,522.2884813,367.36,71.4710357,0.2801719,44.0255163,0.3939263,NA,NA,1.0292396,161.7321367,282.4,-4.8948037,0.4663978,55.2437591,0.3658504,NA,NA,1.3171074,156.0083756,21.28,-6.4828661,1.3273053,56.0617173,0.3652666,NA,NA,0.2824506,11.9299334,56.48,5.8866994,0.5787792,51.8114687,0.3698142,NA,NA,0.3268945,29.2631175,12.96,-9.5835025,0.7287969,52.8040787,0.3641266,NA,NA,0.0944521,6.8434086,0,NA,NA,NA,NA,NA,NA,0,0,20.8,NA,NA,NA,0.3663,NA,NA,NA,NA,110.08,NA,NA,NA,0.3663,NA,NA,NA,NA,871.36,684,2.7232497,336.5138543,NA,NA,NA,NA
10,C,Baseline,4.46,0.0888254,8.2477143,39.6,4.7,1267.4383,0.9233599,1.0136455,48.4189846,0.9233599,NA,NA,128.4733156,6136.807654,250.1689934,21.2339686,0.6300785,50.2521916,0.3754567,NA,NA,1.5762611,125.715402,1123.723025,42.8985375,0.5467206,52.1529464,0.3834216,NA,NA,6.1436256,586.054667,201.76,5.4122462,0.2283441,44.495706,0.3696398,NA,NA,0.460707,89.7745365,144,-5.3882788,0.1984972,47.739315,0.365669,NA,NA,0.285836,68.7446136,66.24,-10.3846752,1.0541527,54.9236927,0.3638321,NA,NA,0.6982708,36.381454,95.84,14.1234559,0.7688483,58.2524466,0.3728425,NA,NA,0.7368642,55.8291448,10.56,-8.0128235,0.6573748,53.511105,0.3647041,NA,NA,0.0694188,5.6507727,1.76,33.123702,0.6111865,45.0662416,0.3798279,NA,NA,0.0107569,0.7931659,10.08,NA,NA,NA,0.3663,NA,NA,NA,NA,32.64,NA,NA,NA,0.3663,NA,NA,NA,NA,562.88,424.32,1.5249894,201.3445426,NA,NA,NA,NA
10,T,Baseline,4.49,0.174257,9.9191429,45.75,4.5,2081.7085,3.0345255,0.4591738,21.6167517,3.0345255,NA,NA,95.5865969,4499.977532,528.0413474,21.9819457,0.410938,49.644517,0.3757317,NA,NA,2.1699224,262.1435765,1295.457575,16.0527895,0.5301612,53.0845901,0.3735518,NA,NA,6.8680129,687.688344,46.88,31.8391938,0.2794732,43.7908139,0.3793557,NA,NA,0.131017,20.5291336,332.96,-5.594861,0.6610425,56.1810283,0.365593,NA,NA,2.2010071,187.0603518,13.92,-7.8023378,1.0287068,54.4781394,0.3647815,NA,NA,0.143196,7.583357,30.56,11.5704049,0.570346,59.900809,0.3719039,NA,NA,0.1742977,18.3056872,4,-8.8758533,0.5954626,54.0226027,0.3643868,NA,NA,0.0238185,2.1609041,38.24,104.2952396,0.5817714,44.9282382,0.4059941,NA,NA,0.2224694,17.1805583,8.48,NA,NA,NA,0.3663,NA,NA,NA,NA,61.44,NA,NA,NA,0.3663,NA,NA,NA,NA,536.48,436,2.721508,234.5143048,NA,NA,NA,NA
